team_id,challenge,size,unique_studylines,unique_personalities,studyline_diversity,personality_diversity,,team_id,challenge,size,unique_studylines,unique_personalities,studyline_diversity,personality_diversity,,team_id,challenge,size,unique_studylines,unique_personalities,studyline_diversity,personality_diversity,,team_id,challenge,size,unique_studylines,unique_personalities,studyline_diversity,personality_diversity
A01,A,10,9,8,0.90,0.80,,B01,B,10,10,8,1.00,0.80,,C01,C,10,8,7,0.80,0.70,,D01,D,10,9,7,0.90,0.70
A02,A,10,9,7,0.90,0.70,,B02,B,10,8,8,0.80,0.80,,C02,C,10,9,9,0.90,0.90,,D02,D,10,9,9,0.90,0.90
A03,A,10,9,9,0.90,0.90,,B03,B,10,10,8,1.00,0.80,,C03,C,10,10,9,1.00,0.90,,D03,D,10,8,8,0.80,0.80
A04,A,10,9,9,0.90,0.90,,B04,B,10,8,8,0.80,0.80,,C04,C,10,10,9,1.00,0.90,,D04,D,10,9,7,0.90,0.70
A05,A,10,10,7,1.00,0.70,,B05,B,10,8,8,0.80,0.80,,C05,C,10,9,9,0.90,0.90,,D05,D,10,9,10,0.90,1.00
A06,A,10,8,7,0.80,0.70,,B06,B,10,8,8,0.80,0.80,,C06,C,10,9,7,0.90,0.70,,D06,D,10,9,8,0.90,0.80
A07,A,10,7,9,0.70,0.90,,B07,B,10,8,9,0.80,0.90,,C07,C,10,9,8,0.90,0.80,,D07,D,10,8,7,0.80,0.70
A08,A,10,8,9,0.80,0.90,,B08,B,10,9,7,0.90,0.70,,C08,C,10,9,8,0.90,0.80,,D08,D,10,9,8,0.90,0.80
A09,A,10,10,8,1.00,0.80,,B09,B,10,9,7,0.90,0.70,,C09,C,10,10,8,1.00,0.80,,D09,D,9,9,8,1.00,0.89
A10,A,9,7,8,0.78,0.89,,B10,B,9,8,9,0.89,1.00,,C10,C,9,8,7,0.89,0.78,,D10,D,9,8,8,0.89,0.89
A11,A,9,9,8,1.00,0.89,,B11,B,9,9,8,1.00,0.89,,C11,C,9,8,9,0.89,1.00,,D11,D,9,9,7,1.00,0.78
A12,A,9,8,8,0.89,0.89,,B12,B,9,8,8,0.89,0.89,,C12,C,9,9,9,1.00,1.00,,D12,D,9,9,9,1.00,1.00
A13,A,9,8,9,0.89,1.00,,B13,B,9,9,8,1.00,0.89,,C13,C,9,9,8,1.00,0.89,,D13,D,9,8,8,0.89,0.89
A14,A,9,8,7,0.89,0.78,,B14,B,9,8,7,0.89,0.78,,C14,C,9,8,7,0.89,0.78,,D14,D,9,8,8,0.89,0.89
A15,A,9,8,8,0.89,0.89,,B15,B,9,9,7,1.00,0.78,,C15,C,9,8,8,0.89,0.89,,D15,D,9,9,9,1.00,1.00
A16,A,9,9,8,1.00,0.89,,B16,B,9,9,7,1.00,0.78,,C16,C,9,8,8,0.89,0.89,,D16,D,9,8,8,0.89,0.89
A17,A,9,9,7,1.00,0.78,,B17,B,9,9,7,1.00,0.78,,C17,C,9,9,8,1.00,0.89,,D17,D,9,9,8,1.00,0.89
A18,A,9,8,8,0.89,0.89,,B18,B,9,9,7,1.00,0.78,,C18,C,9,8,9,0.89,1.00,,D18,D,9,9,8,1.00,0.89
A19,A,9,8,8,0.89,0.89,,B19,B,9,9,8,1.00,0.89,,C19,C,9,8,8,0.89,0.89,,D19,D,9,9,9,1.00,1.00
A20,A,9,8,8,0.89,0.89,,B20,B,9,8,8,0.89,0.89,,C20,C,9,8,8,0.89,0.89,,D20,D,9,9,8,1.00,0.89
A21,A,9,8,8,0.89,0.89,,B21,B,9,8,7,0.89,0.78,,C21,C,9,8,9,0.89,1.00,,D21,D,9,9,8,1.00,0.89
A22,A,9,9,9,1.00,1.00,,B22,B,9,9,9,1.00,1.00,,C22,C,9,9,8,1.00,0.89,,D22,D,9,8,8,0.89,0.89
A23,A,9,8,7,0.89,0.78,,B23,B,9,8,9,0.89,1.00,,C23,C,9,9,9,1.00,1.00,,D23,D,9,8,8,0.89,0.89
A24,A,9,8,8,0.89,0.89,,B24,B,9,8,9,0.89,1.00,,C24,C,9,9,9,1.00,1.00,,D24,D,9,9,9,1.00,1.00
A25,A,9,9,8,1.00,0.89,,B25,B,9,8,8,0.89,0.89,,C25,C,9,9,9,1.00,1.00,,D25,D,9,9,9,1.00,1.00
