student_number,allocation_category,studyline,personality_type
s250147,late entry,Food Technology,ENFJ
s253401,late entry,Biomedical Engineering,INTP
s240413,late entry,Architectural Engineering,ENTJ
s253507,late entry,Biomedical Engineering,INFJ
s250146,late entry,Food Technology,INFJ
s253757,late entry,Autonomous Systems,INTJ
s252897,late entry,Industrial Engineering and Management,ENTP
S253896,late entry,Chemical and Biochemical Engineering,INFJ
s214306,late entry,Architectural Engineering,ENTJ
s253464,late entry,Human-Centered Artificial Intelligence (Digital Media Engineering),INFP
s203618,late entry,Environmental Engineering,ESTJ
s253386,late entry,Biomedical Engineering,ENFJ
s253536,late entry,UNKNOWN,UNKNOWN
s250249,late entry,Computer Science and Engineering,INTJ
s243903,challenge A,Bioinformatics and Systems Biology,ISTJ
s253354,challenge A,Biomedical Engineering,INTJ
s253428,challenge A,Biomedical Engineering,ENFJ
s224163,challenge A,Applied Chemistry,ENFJ
s223903,challenge A,Civil Engineering,ENTJ
s253556,challenge A,Architectural Engineering,ENFJ
s252669,challenge A,Environmental Engineering,INFJ
s223918,challenge A,Architectural Engineering,ISFJ
s214444,challenge A,Physics and Nanotechnology,ESTJ
s253800,challenge A,Applied Chemistry,INTP
s254616,challenge A,Autonomous Systems,ENFJ
S252595,challenge A,Biomedical Engineering,ENTP
s253048,challenge A,Environmental Engineering,ENFJ
s214503,challenge A,Earth and Space Physics and Engineering,ENFJ
s252687,challenge A,Mechanical Engineering,INFJ
s214573,challenge A,Chemical and Biochemical Engineering,ENFJ
s252702,challenge A,Biomedical Engineering,INFJ
s224457,challenge A,Biomedical Engineering,ENFJ
s253341,challenge A,Biomedical Engineering,ENFJ
s253093,challenge A,Mathematical Modelling and Computation,ENFJ
s253392,challenge A,Biomedical Engineering,ENFJ
s253329,challenge A,Biotechnology,ENFP
S211950,challenge A,Food Technology,ESFJ
s243682,challenge A,Civil Engineering,INTP
s254128,challenge A,Earth and Space Physics and Engineering,ENFP
s252868,challenge A,Industrial Engineering and Management,ENTP
s252581,challenge A,Biotechnology,ENFJ
s253540,challenge A,Biotechnology,ISTJ
s254134,challenge A,Pharmaceutical Design and Engineering,ESFJ
s243228,challenge A,Environmental Engineering,INTJ
s253331,challenge A,Biotechnology,ESTJ
s224117,challenge A,Chemical and Biochemical Engineering,ENTJ
s253671,challenge A,Advanced Materials and Healthcare Engineering,ESFJ
s253433,challenge A,Biomedical Engineering,INTJ
s253328,challenge A,Biotechnology,ENFJ
s253411,challenge A,Biomedical Engineering,ENTJ
s224968,challenge A,Biotechnology,INTJ
s240388,challenge A,Physics and Nanotechnology,ENFJ
s223997,challenge A,Electrical Engineering,ENTJ
s253646,challenge A,Earth and Space Physics and Engineering,ENTP
s253252,challenge A,Chemical and Biochemical Engineering,INFJ
253501,challenge A,Pharmaceutical Design and Engineering,ENFJ
s215305,challenge A,Architectural Engineering,ISTP
s253257,challenge A,Chemical and Biochemical Engineering,ENFJ
s192919,challenge A,Civil Engineering,INTJ
s214195,challenge A,Civil Engineering,ENTJ
s253517,challenge A,Pharmaceutical Design and Engineering,ENTJ
s253189,challenge A,Chemical and Biochemical Engineering,ENFP
s253382,challenge A,Biomedical Engineering,ESFJ
s253514,challenge A,Biotechnology,INTP
s221770,challenge A,Biotechnology,ISFJ
s254615,challenge A,Biomedical Engineering,ENFP
s242050,challenge A,Biomedical Engineering,ESFJ
s242959,challenge A,Computer Science and Engineering,ISTJ
s253361,challenge A,Pharmaceutical Design and Engineering,ENFJ
s225049,challenge A,Bioinformatics and Systems Biology,ESTJ
s226432,challenge A,Advanced Materials and Healthcare Engineering,INTJ
s253280,challenge A,Chemical and Biochemical Engineering,ENFJ
s252775,challenge A,Advanced Materials and Healthcare Engineering,INTP
s250258,challenge A,Industrial Engineering and Management,ENFJ
s243080,challenge A,Industrial Engineering and Management,ISFJ
s242747,challenge A,Sustainable Energy,ESFJ
S253553,challenge A,Pharmaceutical Design and Engineering,ENTJ
s215108,challenge A,Pharmaceutical Design and Engineering,ISFJ
s220182,challenge A,Biotechnology,INTJ
s253835,challenge A,Pharmaceutical Design and Engineering,ISTP
s215072,challenge A,Biotechnology,ISTJ
s180367,challenge A,Engineering Acoustics,ENFJ
s253124,challenge A,Computer Science and Engineering,ENFJ
s252882,challenge A,Industrial Engineering and Management,INFJ
s191511,challenge A,Materials and Manufacturing Engineering,ENTJ
s194262,challenge A,Human-Centered Artificial Intelligence (Digital Media Engineering),INFJ
s233691,challenge A,Food Technology,INTP
s205483,challenge A,Civil Engineering,ENFJ
s214445,challenge A,Physics and Nanotechnology,INTP
s253573,challenge A,Pharmaceutical Design and Engineering,ENFP
s223823,challenge A,Civil Engineering,ISTP
s233287,challenge A,Electrical Engineering,INTJ
s253359,challenge A,Biomedical Engineering,ENFP
s252609,challenge A,Autonomous Systems,INTJ
s211111,challenge A,Pharmaceutical Design and Engineering,ISTJ
S253551,challenge A,Biotechnology,ESFJ
s253855,challenge A,Environmental Engineering,ENTP
s215074,challenge A,Biotechnology,ISFJ
s250449,challenge A,Biotechnology,ISTJ
s252725,challenge A,Biotechnology,ENFP
s224527,challenge A,Biomedical Engineering,ISTJ
s253875,challenge A,Computer Science and Engineering,ENTP
254733,challenge A,Civil Engineering,INTJ
s224372,challenge A,Computer Science and Engineering,ISFJ
s214212,challenge A,Civil Engineering,ESFP
s240036,challenge A,Materials and Manufacturing Engineering,ENTP
s250830,challenge A,Pharmaceutical Design and Engineering,INFP
S242790,challenge A,Civil Engineering,ISTP
s253687,challenge A,Pharmaceutical Design and Engineering,ENTJ
s253684,challenge A,Advanced Materials and Healthcare Engineering,ENFJ
s225076,challenge A,Pharmaceutical Design and Engineering,ENFJ
s223921,challenge A,Architectural Engineering,ENFJ
s244504,challenge A,Sustainable Energy,INFP
s254259,challenge A,Electrical Engineering,INTJ
s253312,challenge A,Sustainable Energy,INFJ
s214477,challenge A,Physics and Nanotechnology,INTJ
s214505,challenge A,Earth and Space Physics and Engineering,ESFJ
s252643,challenge A,Biomedical Engineering,INTJ
s232895,challenge A,Computer Science and Engineering,INFP
s225081,challenge A,Biotechnology,ISFJ
s252821,challenge A,Industrial Engineering and Management,ESTJ
s252616,challenge A,Biotechnology,ENFJ
s253077,challenge A,Computer Science and Engineering,ENTJ
s215050,challenge A,Pharmaceutical Design and Engineering,INTJ
s242987,challenge A,Engineering Acoustics,ENTP
s242620,challenge A,Electrical Engineering,INFJ
s253413,challenge A,Biomedical Engineering,ISFP
s243140,challenge A,Wind Energy,ISFJ
s253516,challenge A,Biotechnology,INFP
s223898,challenge A,Architectural Engineering,ISTJ
s225037,challenge A,Pharmaceutical Design and Engineering,ENFJ
s243254,challenge A,Wind Energy,ENTJ
s214196,challenge A,Civil Engineering,INFJ
S205034,challenge A,Electrical Engineering,ISTP
s250212,challenge A,Pharmaceutical Design and Engineering,INFJ
s205720,challenge A,Computer Science and Engineering,ESFP
s252724,challenge A,Autonomous Systems,ENFJ
s252720,challenge A,Environmental Engineering,INFJ
s253454,challenge A,Biotechnology,ENFJ
s253869,challenge A,Computer Science and Engineering,ESTJ
s253402,challenge A,Biotechnology,ESTJ
s224975,challenge A,Biotechnology,ISTJ
s221701,challenge A,Earth and Space Physics and Engineering,INTJ
s224659,challenge A,Mechanical Engineering,ENFJ
s250696,challenge A,Computer Science and Engineering,ENTP
s253334,challenge A,Biotechnology,INTP
s224492,challenge A,Biomedical Engineering,ENFJ
s211676,challenge A,Pharmaceutical Design and Engineering,INTJ
s253223,challenge A,Chemical and Biochemical Engineering,ENFP
s243764,challenge A,Applied Chemistry,INTJ
s225007,challenge A,Pharmaceutical Design and Engineering,ENTP
s253326,challenge A,Biotechnology,ENTJ
s254743,challenge A,Computer Science and Engineering,ISFP
s225047,challenge A,Biotechnology,INFJ
S214221,challenge A,Civil Engineering,ESFP
s223929,challenge A,Architectural Engineering,ISFJ
s253493,challenge A,Biotechnology,ENFJ
s253506,challenge A,Food Technology,INFJ
s252777,challenge A,Sustainable Energy,INTP
s202142,challenge A,Sustainable Energy,ESTP
s195758,challenge A,Engineering Acoustics,ISFP
s252700,challenge A,Electrical Engineering,INTP
s215195,challenge A,Biotechnology,ISTP
s215249,challenge A,Environmental Engineering,ENTP
s243663,challenge A,Environmental Engineering,ISFJ
s215097,challenge A,Food Technology,ESTJ
s224520,challenge A,Biomedical Engineering,INTJ
s254141,challenge A,Civil Engineering,INTJ
s252907,challenge A,Electrical Engineering,ESTJ
s253663,challenge A,Advanced Materials and Healthcare Engineering,INTJ
s225163,challenge A,Biotechnology,INFJ
